key,pearson_r,rmse,mae,train_time,ms_per_mol,n_params,epochs_run,stopped_early
PDBbind_PharmaJEGNN_L0_s42,0.526691198348999,1.7523236515492944,1.4269851446151733,1111.6546630859375,0.0013322830200195312,4221697,66,1
PDBbind_PharmaJEGNN_L0_s123,0.6167394518852234,1.4044300170090664,1.196930170059204,1247.712834596634,0.0013335545857747395,4221697,76,1
PDBbind_PharmaJEGNN_L0_s456,0.6287379264831543,1.4984921187867215,1.1873966455459595,1798.5186982154846,0.0013326009114583333,4221697,80,0
PDBbind_PharmaJEGNN_L0_s789,0.5805886387825012,1.6275884846249722,1.2873948812484741,5019.66009926796,0.0013332366943359375,4221697,80,0
PDBbind_PharmaJEGNN_L0_s1024,0.3936302661895752,1.9004974492032607,1.4386305809020996,1207.040364265442,0.0026667912801106772,4221697,80,0
PDBbind_PharmaJEGNN_L0_s2048,0.640241801738739,1.4550393733042417,1.156356692314148,1973.3250150680542,0.0013332366943359375,4221697,80,0
PDBbind_PharmaJEGNN_L0_s3141,0.29417675733566284,1.599211590950749,1.2664361000061035,1094.4558401107788,0.002667109171549479,4221697,40,1
PDBbind_PharmaJEGNN_L0_s9999,0.6905663013458252,1.596033592042696,1.3363325595855713,1120.9898483753204,0.0013335545857747395,4221697,80,0
PDBbind_PharmaJEGNN_L0_s7777,0.38097530603408813,1.7985477125399918,1.404677152633667,3962.550131082535,0.0013341903686523438,4221697,80,0
PDBbind_PharmaJEGNN_L0_s5555,0.6325601935386658,1.37191430559094,1.0643432140350342,1383.0715973377228,0.003999392191569011,4221697,63,1
PDBbind_PharmaJEGNN_L0_s1111,0.490823358297348,1.8231715069613654,1.4339118003845215,3243.7458868026733,0.002666473388671875,4221697,80,0
PDBbind_PharmaJEGNN_L0_s2222,0.5853648781776428,1.5877318355654682,1.2976850271224976,1743.8216545581818,0.003999392191569011,4221697,80,0
PDBbind_PharmaJEGNN_L0_s3333,0.5810886025428772,1.7074881145236778,1.3674565553665161,3414.418561697006,0.0013319651285807292,4221697,71,1
PDBbind_PharmaJEGNN_L0_s4444,0.4879777729511261,1.9970514497122631,1.6196625232696533,725.9930305480957,0.0013341903686523438,4221697,42,1
PDBbind_PharmaJEGNN_L0_s6666,0.5016669034957886,1.7415897729621568,1.3878140449523926,268.4953601360321,0.002677281697591146,4221697,80,0
PDBbind_PharmaJEGNN_L0_s8888,0.4297013282775879,1.7484566149719263,1.4156655073165894,1325.6960000991821,0.0013319651285807292,4221697,76,1
PDBbind_PharmaJEGNN_L0_s314,0.5839511156082153,1.307553780509102,1.0516791343688965,217.18651342391968,0.0013427734375,4221697,55,1
PDBbind_PharmaJEGNN_L0_s271,0.5526416897773743,1.7467379139184116,1.2976038455963135,167.5026409626007,0.0013335545857747395,4221697,70,1
PDBbind_PharmaJEGNN_L0_s1618,0.5811211466789246,1.5884501279711345,1.2168103456497192,1129.1738142967224,0.0013360977172851562,4221697,80,0
PDBbind_PharmaJEGNN_L0_s1729,0.598931610584259,1.500344236928535,1.1966350078582764,1148.1209170818329,0.001339276631673177,4221697,76,1
PDBbind_D-MPNN_L0_s42,0.5855696201324463,1.6684140899553455,1.3392919301986694,47.192002058029175,0.002666473388671875,471297,80,0
PDBbind_D-MPNN_L0_s123,0.486675500869751,1.5841628796035367,1.329339861869812,46.933000564575195,0.002669652303059896,471297,80,0
